qty,price
0.000000000000000000e+00,6.171000000000000227e+02
0.000000000000000000e+00,6.170000000000000000e+02
0.000000000000000000e+00,6.167500000000000000e+02
0.000000000000000000e+00,6.167100000000000364e+02
0.000000000000000000e+00,6.167400000000000091e+02
0.000000000000000000e+00,6.167699999999999818e+02
0.000000000000000000e+00,6.167500000000000000e+02
0.000000000000000000e+00,6.167400000000000091e+02
0.000000000000000000e+00,6.168200000000000500e+02
0.000000000000000000e+00,6.169299999999999500e+02
0.000000000000000000e+00,6.169900000000000091e+02
0.000000000000000000e+00,6.170000000000000000e+02
0.000000000000000000e+00,6.169500000000000455e+02
0.000000000000000000e+00,6.168899999999999864e+02
0.000000000000000000e+00,6.168700000000000045e+02
0.000000000000000000e+00,6.170399999999999636e+02
0.000000000000000000e+00,6.168999999999999773e+02
0.000000000000000000e+00,6.169700000000000273e+02
0.000000000000000000e+00,6.169700000000000273e+02
0.000000000000000000e+00,6.169299999999999500e+02
0.000000000000000000e+00,6.169600000000000364e+02
0.000000000000000000e+00,6.170399999999999636e+02
0.000000000000000000e+00,6.171000000000000227e+02
0.000000000000000000e+00,6.171599999999999682e+02
0.000000000000000000e+00,6.172000000000000455e+02
0.000000000000000000e+00,6.172100000000000364e+02
0.000000000000000000e+00,6.172200000000000273e+02
0.000000000000000000e+00,6.171599999999999682e+02
0.000000000000000000e+00,6.172100000000000364e+02
0.000000000000000000e+00,6.172999999999999545e+02
0.000000000000000000e+00,6.173700000000000045e+02
0.000000000000000000e+00,6.174299999999999500e+02
0.000000000000000000e+00,6.172300000000000182e+02
0.000000000000000000e+00,6.171900000000000546e+02
0.000000000000000000e+00,6.172100000000000364e+02
0.000000000000000000e+00,6.173300000000000409e+02
0.000000000000000000e+00,6.174299999999999500e+02
0.000000000000000000e+00,6.173600000000000136e+02
0.000000000000000000e+00,6.171900000000000546e+02
0.000000000000000000e+00,6.171100000000000136e+02
0.000000000000000000e+00,6.171200000000000045e+02
0.000000000000000000e+00,6.171200000000000045e+02
0.000000000000000000e+00,6.170099999999999909e+02
0.000000000000000000e+00,6.169099999999999682e+02
